"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"CianSOBrien","2019-09-30 21:51","4","7","Great insight into the impact of climate change on public health presented by @IvanJPerry of @UCCPublicHealth @UCC  at this evening’s public lecture Cork: a Healthy City in a Changing Climate pic.twitter.com/GB4ZPdlilE","","@IvanJPerry @UCCPublicHealth @UCC","","1178774316172886017","https://twitter.com/CianSOBrien/status/1178774316172886017",""
"GivenDamien","2019-09-30 18:40","0","0","I think it’s simpler than that, as is everything with Piers; he’s just jealous. Phone-hacking and murder are easy, tackling something like climate change requires balls of which he possesses zero.","","","","1178726283733356544","https://twitter.com/GivenDamien/status/1178726283733356544",""
"welllads","2019-09-30 18:13","0","1","Babygirl there’s no point pinning the blame on the rich man all the time. Of course, big oil companies make the average man feel helpless in tackling climate change. But if 7billion average men did their average bits, we could make such a huge impact","","","","1178719503192068098","https://twitter.com/welllads/status/1178719503192068098",""
"jackfitz_20","2019-09-30 18:03","0","7","Rich people flying around in private jets preaching about climate change and us peasants using plastic straws is the problem 🤣","","","","1178716908343975936","https://twitter.com/jackfitz_20/status/1178716908343975936","🤣"
"donna_cooney1","2019-09-30 16:53","2","7","#Lorenzo maintaining strenght, due to come up west of #Ireland by Thurs. Hope there will be enough beds for rough sleepers & everybody stays safe. It's bad in Dublin now with heavy #rain yellow #Weather warning still in place. #Extremeweather events more frequency #ClimateChange https://twitter.com/NHC_Atlantic/status/1178693906004733953 …","","","#Lorenzo #Ireland #rain #Weather #Extremeweather #ClimateChange","1178699503903346688","https://twitter.com/donna_cooney1/status/1178699503903346688",""
"ellenmcoyne","2019-09-30 14:01","14","35",".@paulmurphy_TD told JOE that @RISEsocialists want to be involved in movements like @ExtinctRebelsIE - and doesn’t believe the Green Party programme for climate change is “adequate”     Wants to build left movement, rules out working w Sinn Féin and Labour pic.twitter.com/gmm9sfrd2j","","@paulmurphy_TD @RISEsocialists @ExtinctRebelsIE","","1178656208833658882","https://twitter.com/ellenmcoyne/status/1178656208833658882",""
"icome_undone","2019-09-30 13:36","1","0","My Dublin event guide shares free talks on climate change, courses on the art of being still, comedy night and food & craft markets 🍀... all for you to enjoy in the city today 🍀🍀     https://www.patreon.com/posts/best-of-this-30-30230400 …","","","","1178649899790995456","https://twitter.com/icome_undone/status/1178649899790995456","🍀 😍 😄"
"RebelDublin","2019-09-30 13:01","0","1","Government Asked To Treat Climate Like It Was A Multinational: THE IRISH people have begun a last ditch attempt to get the government to treat the issue of climate change with the urgency it requires, hitting upon the idea of persuading them to think of… http://dlvr.it/RFBFS2 pic.twitter.com/cQOXkOOlBX","","","","1178641028284215296","https://twitter.com/RebelDublin/status/1178641028284215296",""
"cormacDublin","2019-09-30 13:00","0","0","@Paschald WTF #ClimateChange  Budget 2020: Tax proposals could make for cheaper diesel cars??? https://www.irishtimes.com/business/transport-and-tourism/budget-2020-tax-proposals-could-make-for-cheaper-diesel-cars-1.4034356 …","","@Paschald","#ClimateChange","1178640750671736832","https://twitter.com/cormacDublin/status/1178640750671736832",""
"john003","2019-09-30 12:50","0","0","Not sure about the climate change bit.... pic.twitter.com/pYSHpIO6ID","","","","1178638306805981184","https://twitter.com/john003/status/1178638306805981184",""
"CriticalMediaR","2019-09-30 11:17","0","1","Why are the Catholic right in Ireland so opposed to young people protesting on the issues of pollution and climate change? I don't see the contradiction with Catholic teachings? @DavQuinn","","@DavQuinn","","1178614833828290561","https://twitter.com/CriticalMediaR/status/1178614833828290561",""
"_digo_silva19","2019-09-30 09:44","0","0","She's not wrong, when the climate change end with all human life in the planet it will be better for the planet, we will be fucked, but the planet will be just fine","","","","1178591542015139840","https://twitter.com/_digo_silva19/status/1178591542015139840",""
"D9Herbs","2019-09-30 09:31","0","2","It’s time to stop paying lip service to #climatechange If you have a lawn you need to change. #garden #gardening https://pollinators.ie/reducing-mowing-for-pollinators-brilliant-for-bees-harder-for-humans/?fbclid=IwAR3qSbTBcwT42uKUPx69gev846Uj_1tjfj7e1ilus5OAVVfQsFDZKqj304o … #ClimateEmergency","","","#climatechange #garden #gardening #ClimateEmergency","1178588240217030656","https://twitter.com/D9Herbs/status/1178588240217030656",""
"denomeara","2019-09-30 09:22","1","10","After reading the utter climate drivel published by the @IrishTimes and the @Independent_ie over the weekend,  @saoirse_mchugh's piece in @thejournal_ie on community led changes and improvements to the environment, is nothing short of a breath of a fresh air! https://twitter.com/Irishwildlife/status/1178406299614220289 …","","@IrishTimes @Independent_ie @saoirse_mchugh @thejournal_ie","","1178585912424439808","https://twitter.com/denomeara/status/1178585912424439808",""
"Bubblenoma","2019-09-30 09:10","0","3","She'll be the very one hand wringing about climate change and all. Ffs.","","","","1178582988742938624","https://twitter.com/Bubblenoma/status/1178582988742938624",""
"LiteraryStriver","2019-09-30 00:18","0","1","So maybe a #ClimateCrisis meriting a #climatestrike, what do you think? #ClimateChange #lorenzohttps://twitter.com/philklotzbach/status/1178292746185887744 …","","","#ClimateCrisis #climatestrike #ClimateChange #lorenzohttps","1178448890556755969","https://twitter.com/LiteraryStriver/status/1178448890556755969",""
"TheKavOfficial","2019-09-29 23:02","0","14","Did your editor have a stroke?    That column claims that climate change is a hoax and the GAA is somehow complicit. And you printed it, you sack of gowls.","","","","1178429856171905025","https://twitter.com/TheKavOfficial/status/1178429856171905025",""
"slattsmachine","2019-09-29 19:42","0","3","Strongest hurricane ever recorded this far north&east in the atlantic.This isnt good.For those waiting for the earth to fall apart because of climate change,theyll be waiting.Its regular events like this increasing with severity that will cause structural,economic&human damage. https://twitter.com/metofficestorms/status/1178198477177786373 …","","","","1178379568937361408","https://twitter.com/slattsmachine/status/1178379568937361408",""
"BridgetGoulding","2019-09-29 17:11","0","2","Couldn’t agree more Miriam with your excellent article in Independent. Real action needed from government. We’ve had enough meaningless words re  #climatechange","","","#climatechange","1178341531222233088","https://twitter.com/BridgetGoulding/status/1178341531222233088",""
"maryfoleyc","2019-09-29 15:33","0","0","Jeremy Clarkson, super spoilt brat, who has owned 25 super cars. This has not helped the environment with the impact of fuel emissions. Take heed of Greta Thunbergs advice for climate change. https://bit.ly/2mNIHYk ","","","","1178316856115040256","https://twitter.com/maryfoleyc/status/1178316856115040256",""
"Carmeldoyle","2019-09-29 14:42","0","3","I've decided be even more mindful of my use of #plastic in everyday life and to make more sustainable choices. Thank you @GretaThunberg and all of the young people around the globe doing the #ClimateStrikes for helping to inspire change. #ClimateChange #Sustainabilitypic.twitter.com/O3BSUfEsu1","","@GretaThunberg","#plastic #ClimateStrikes #ClimateChange #Sustainabilitypic","1178303975805861890","https://twitter.com/Carmeldoyle/status/1178303975805861890",""
"jtevlin2","2019-09-29 12:50","0","0","Climate change denial now is  end of world after next generation https://twitter.com/diarmuidtorney/status/1178034508442034183 …","","","","1178275797825658882","https://twitter.com/jtevlin2/status/1178275797825658882",""
"amickabl","2019-09-29 12:03","0","1","Might buy a load of seed bombs and start flinging them at climate change deniers","","","","1178264107327377409","https://twitter.com/amickabl/status/1178264107327377409",""
"keating_s","2019-09-29 11:01","0","0","Plenty of scientists have noted climate change is due to axial tilt and other theories. The bigger issue here really is the ecological systems under threat, the deforestation, plastic etc. Preservation a better word imo","","","","1178248470332891136","https://twitter.com/keating_s/status/1178248470332891136",""
"rplobrien","2019-09-29 10:26","0","3","Absolutely right. Outbreak of climate change deniers this weekend. https://twitter.com/alanjcostello/status/1178228922984665088 …","","","","1178239655365562370","https://twitter.com/rplobrien/status/1178239655365562370",""
